Sentence,Aspect,Polarity
hương_vị hương_vị nhà làm .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"phần chuck flap g thịt mềm , nên gọi chín vừa , không bị mất nước .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
mong quán có_thể cập_nhật nhiều món hơn trên menu delivery now vì mình thích mấy món ăn vặt của quán .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"hôm_nay mình đi uống ở royaltea ở d , quán có ct khuyến_mãi nhưng nhân_viên không hề nhắc , bảng khuyến_mãi được để vô trong chứ không phải bên ngoài , khách đến hỏi in bill ra rồi mới nói , chán cái sự làm_việc ở đây ghê .","['RESTAURANT#MISCELLANEOUS', 'SERVICE#GENERAL', 'RESTAURANT#GENERAL']","[{'RESTAURANT#MISCELLANEOUS': 'positive'}, {'SERVICE#GENERAL': 'negative'}, {'RESTAURANT#GENERAL': 'negative'}]"
đặt trước phần wellington nhưng trải_nghiệm khá thất_vọng .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"vì ngoài tầng để chọn mua đồ , còn có cả tầng để ngồi nữa mà kgian thì rất rộng_rãi , sạch_sẽ ngăn_nắp , lại còn lắp điều_hoà nữa .","['AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
không_gian tuyệt_vời,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"không_gian quán rộng_rãi , tuy không nhiều khách nhưng mình thấy có khá là nhiều khách đã quen ăn_ở đây nên trông họ rất thoải_mái .","['AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","[{'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#GENERAL': 'neutral'}]"
ngoài_ra thì không_gian hẹp quá .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
"nhà_hàng không_gian tuy khá đơn_giản nhưng lại tinh_tế , lịch_sự rất phù_hợp với hẹn_hò lãng_mạn hay ăn gia_đình nha .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"đánh_giá chung chắc_chắn sẽ quay lại , và khuyên các bạn nên thử .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"toast này mình không thích lắm , phần sốt trứng muối ngon , ăn một_vài miếng đầu thì thích chứ ăn nhiều thì ngấy lắm .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"ngoài_ra có sốt bbq ăn được , sốt kem trứng gì đó siêu béo , ăn mau ngán , nhưng vẫn ngon d .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
có cái gọi lần đầu thì chu_đáo gọi lần thấy mặt khó_chịu không đem nước cho mình luôn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"không_gian trang_trí lịch_sự sang_trọng và cả cách bày món đẹp , bắt_mắt , giá hơi bị chát tổng k nhưng chất_lượng tuyệt_vời , đồ_ăn rất ngon , đậm_đà , mỗi món đều mang vị riêng của nó , rất đáng .","['AMBIENCE#GENERAL', 'FOOD#STYLE&OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#PRICES']","[{'AMBIENCE#GENERAL': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}, {'RESTAURANT#PRICES': 'negative'}]"
"bánh_giò là món mình thích , shop bán có kèm chén nhựa nhỏ với muỗng nè , nhân thịt bên trong ướp đậm_đà nên hổng cần muối_tiêu gì hết , rất thơm .","['FOOD#STYLE&OPTIONS', 'RESTAURANT#MISCELLANEOUS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"hải_sâm đông cô sốt dầu hào không thích hải_sâm nên không comment nhiều , mỗi cái sốt hơi nhạt .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"rau ăn kèm vô_cùng phong_phú , có trái vả xắt lát , khế chua và xoài sống ăn kèm với vài loạu rau_thơm nữa .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
xôi ăn không thì hơi nhạt nên cho thêm tí tương .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
bánh giao tới còn nóng_hổi luôn và rất thơm .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"còn toast thì khỏi bàn , siêu ngon .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"món ăn ngon , đặc_biệt nhất là món bánh_mì ba tê ăn để thưởng_thức với bia hoặc rượu cũng rất chất .","['FOOD#QUALITY', 'DRINKS#QUALITY']","[{'FOOD#QUALITY': 'positive'}, {'DRINKS#QUALITY': 'positive'}]"
trà xanh hơi bị đắng đường .,"['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'negative'}]"
"tô bún nạm chả . khá nhiều , thêm rau trụng vô nữa là no , nước dùng đậm_đà nhưng khá nguội , rau trụng qua_loa nên còn cứng_ngắc .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'neutral'}]"
"món thì cũng nhiều , gỏi cuốn , há cảo , đồ chiên , mì ý , súp , gà , .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"bò mềm , ướp ngon .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"không_gian khá thoải_mái , phục_vụ okie .","['AMBIENCE#GENERAL', 'SERVICE#GENERAL']","[{'AMBIENCE#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
"còn trà xanh thì lạ thật , có thêm lớp kem mặn béo phía trên , múc ăn riêng béo kinh khung lun , trộn chung vs trà thì ngọt hơn .","['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'positive'}, {'DRINKS#QUALITY': 'negative'}]"
"mình gọi nui xào bò , bò mềm , nêm nếm vừa_miệng , nui khá nhiều dầu_mỡ , hơi ngọt ai thích ăn cay có_thể xịt thêm tương_ớt để bớt đi độ ngọt của nui .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"không_gian cũng có gu , chưa quá độc_đáo nhưng đẹp và sang , sáng .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
hy_vọng quán hãy cứ giữ tốt phong_độ như_vậy .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"cn này có ban_công view ra đường hàm nghi nhộn_nhịp khá đẹp , trời mưa hay tối lên_đèn siêu xinh .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
mình kỳ_vọng vào đồ_ăn nhiều hơn những gì mình nhận được .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"ở đây có món bánh đùi gà khá lạ , ở quê mình thì không có , lẻn hà_nội mới thấy , lần này là lần thứ mình ăn .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
k có ý_định mua tặng vì alone thì làm_sao ăn nổi nên mình chỉ mua cái bánh chewy medium k k đc áp_dụng mua tặng và ly trà sữa machiato .,"['DRINKS#PRICES', 'FOOD#PRICES']","[{'DRINKS#PRICES': 'neutral'}, {'FOOD#PRICES': 'neutral'}]"
"trước giờ hay uống đen đá mà toàn uống trà_sữa , trà sữa rất ngon .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"bảo_vệ ko dắt xe cho khách , thái_độ hách_dịch , khó_chịu , .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
chắc_chắn mình và gia_đình sẽ quay lại .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nhìn ít v chứ ăn nữa dĩa là té_ngửa r .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"nhà mình gọi đủ hải_sản , thịt gà , bò , rau củ quả .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"trà sữa béo , thơm , thạch ngon , milkfoam béo nữa .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"mình gọi set cá_hồi sashimi tầm set bé tí được miếng cá , lẩu hình_như , cơm cuộn chay rẻ nhất .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'negative'}, {'FOOD#PRICES': 'neutral'}]"
"pizza khỏi chê , cứ gọi là nóng_hổi vừa thổi vừa ăn .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
bánh toast cheesy cheesy cực ngon luôn nhe .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"món đều thấy ok , trà hoa_hồng thơm , váng sữa béo ngậy , nên thử món này khi đến đen đá nếu uống được trà hoa hồnt nhé",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"nhưng dù_sao , giá_như thế là quá mắc so với chất_lượng , có quán mình ăn ngon hơn nhưng giá cũng chỉ tầm k , k .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
"phần trà vị đào rất rõ , chua_chua nên uống chung với milkfoam cũng khó ngấy .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"món ngon , đậm_đà chất miền tây không_gian đẹp , thoáng mát , view ven sông phục_vụ chuyên_nghiệp , lịch_sự , nhiệt_tình .","['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","[{'FOOD#QUALITY': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
có sảnh đã được thay_đổi làm background khác .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
nhìn_chung ăn cũng đc nhưng nên lựa kĩ kĩ chút .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"lúc tới thấy khá vắng dù mặt_tiền sang , giữ xe nhìn_chung mình thấy ko thân_thiện lắm .","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'negative'}, {'SERVICE#GENERAL': 'negative'}]"
mình đánh_giá đây là thái_độ vòng_vo và thiếu tôn_trọng khách_hàng .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
nhà_hàng này cx không có_điều hoà chỉ có hệ_thống quạt phun sương .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'neutral'}]
"cực_kì cực_kì tận_tình luôn nha , vui_vẻ niềm_nở mà phục_vụ rất nhanh .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"không_gian rộng_rãi và rất sạch_sẽ , thoáng mát nhaz .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"mùi bột chiên quá nồng , cực ngấy , cảm_nhận là dùng dầu cũ để chiên .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"điểm cộng cho nhân_viên , siêu chu_đáo và tận_tâm luôn .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
ngoài_ra không_gian cực_kỳ bát_nháo .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
thức_ăn rất ngon nếu yêu ẩm_thực thì nên đến nếm thử lần .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
ăn kèm là kem dừa với topping cream .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
kêu thêm bánh_mì chấm là bá cháy .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"nhân_viên order tại quầy , nhân_viên nhanh_nhẹn , nhiệt_tình vì mình thấy khách vừa đi là họ lên dọn liền .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
🧀 chất_lượng đến circle k thì mình gọi nước là chính chứ ít khi mua đồ gói vì nó đắt hơn so với bên ngoài .,['FOOD#PRICES'],[{'FOOD#PRICES': 'negative'}]
mình thử mấy loại rồi loại nào cũng ngon,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"mình cứ nghỹ với chi_phí và theo phong_cách này thì đội_ngũ phục_vụ ở l ' usine sẽ đc training đặc_biệt khác hơn những chỗ bình_thường , nhưng cách làm_việc của các bạn làm mình hơi bất_ngờ .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
"bingsu trà sữa thái giá k người ăn , ăn ngon đấy bên dứoi có lớp trân_châu với sương sáo bên trên có lớp kem béo béo mặn mặn .","['DRINKS#PRICES', 'DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#PRICES': 'neutral'}, {'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
gà hơi dai còn lại rất ổn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mình khuyến_khích các bạn thử món cà_phê đá xay hay các món xay đá sẽ thấy lạ vs ngon .,"['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"phở lòng gà đúng ngon , nhiều lòng , thử gà cũng thấm .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
quán khá vắng mà đợi đồ_ăn lâu .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'negative'}, {'SERVICE#GENERAL': 'negative'}]"
"sợi cao_lầu thơm , dai , thấm_đượm nước sốt lấp_xấp thoang_thoảng hương thơm ngũ_vị dịu nhẹ .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
gà mình cảm_thấy da không đuợc gìon nhưng tẩm gia_vị đậm_đà vừa ăn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
pasta hình_như còn đựng trong cái chảo ý chứ k phải đĩa đâu .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"g chè bưởi ship ko ship cùng cốt dừa , lại bảo em có dặn chị ship cốt dừa đâu .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"do gần tết nên bao_bì deco tết xinh lắm , mà hơi giống vânh trung_thu .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
gà ngon mềm ăn vs cơm hoặc xôi nữa thì no thôi rồi .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
nhân_viên chắc còn mới nên hơi chậm với hơi ngơ_ngơ .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
nhưng nhìn_chung vẫn sẽ quay lại nếu thèm dimsum .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"uống như nước đường , nhạt_nhẽo .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'negative'}]
quán ở ngay mặt đường bà triệu chỗ gần vincom nên khá dễ tìm .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
"phục_vụ nhiệt_tình , bị ấn_tượng với tờ menu như tờ báo chi_chít chữ .","['SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
"bạn mình uống latte matcha , trà đào machiato , cappuchino , .",['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"thịt bò ăn ok , chả ngon .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"nên mình ko khuyến_khích kêu loại này đã vậy còn làm chín hết r ăn mất ngon haizz mình thấu loại này ko có j đặc_biệt trừ cái xương khó_chịu ra cả , .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
vì mới khai_trương nên có chương_trình mua tặng but chỉ áp_dụng cho chewy mini .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"quán decor cũng bình_thường k có gì đặc_sắc nhưng ánh_sáng đẹp , ly cũng dễ_thương , nhân_viên cũng nhiệt_tình .","['AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'SERVICE#GENERAL']","[{'AMBIENCE#GENERAL': 'neutral'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
mực chiên thì quá mặn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
vị_trí nằm trên đường nguyễn_tri phương quận khu đường ăn_uống lớn và hình_như có ở quận nữa .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
giá_cả thì ok ko quá mắc so với mặt_bằng khu quận này .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
"nằm ngay gần chợ tân_định , chỗ này mình vô xem review mà thấy chê quá nhưng do có sẵn code của món huế tặng nên quyết_định tới ăn thử luôn .","['LOCATION#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'LOCATION#GENERAL': 'neutral'}, {'RESTAURANT#MISCELLANEOUS': 'neutral'}]"
thì_ra thì mì khô bình_thường à .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"quán nhỏ nhưng k đông khách , vẫn chưa dc nhiều ng biết đến nên lúc_nào đến đây ăn cũng như kiểu bao cả quán luôn .","['AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","[{'AMBIENCE#GENERAL': 'negative'}, {'RESTAURANT#GENERAL': 'neutral'}]"
chiếc cốc xinh_xắn kkhi noel rất bắt_mắt .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
do đông nên lên món cũng khá lâu .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"quán trang_trí ấm_cúng , khá tinh_tế .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"bánh creame brulee bánh ở dưới như là bánh plan mà đặc và béo hơn nhiều , ăn ngon lắm đã vậy ở trên còn có lớp đường được khè lửa nữa .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"lần đầu ăn hài_lòng khi cắt miếng thịt ra , màu nâu bên ngoài bên trong hồng , chín đều , không bị dai , sốt kem nấm ngon nhưng hơi nhạt .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"ăn mực tẩm bột thì mực không giòn mà nhão nhẹt , cơm_chiên thì khô , bò thì nấu không đậm_đà , gỏi gói sen tai heo thì không có nước_mắm để chấm , các loại ốc và ngêu thì không tươi , mình thấy các món chiên cũng không được nóng nữa , nói_chung không có món nào xuất_sắc cả , rất thất_vọng khi ăn_ở đây .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'negative'}]"
trên đường đi tập gym thấy đồ_ăn ngon nên tiện ghé vào ăn .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
nhà mình đi hôm cũng k đông khách lắm nhưng đợi siêu lâu .,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'neutral'}, {'SERVICE#GENERAL': 'negative'}]"
"vị_trí cái đoạn này hơi khuất khuất và tối , quán cùng địa_chỉ với một khách_sạn nữa , ở đây dc chia thành hai ngăn , một bên là khách_sạn còn một bên là quán ăn saturday ah .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'negative'}]
"vẫn là ánh đèn vàng ấm_áp tạo cảm_giác ấm_cúng , gần_gũi x .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
giá_cả tầm những thương_hiệu nổi_tiếng khác nhưng riêng mình thì so ra thấy giá không mắc đâu .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"tóm_lại , mọi thứ ok và rất đáng để trải_nghiệm .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
gà cũng bình_thường .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"ở đây nấu_nướng mình cảm_thấy giống theo cảm_hứng lam , lúc trước ngày thì món nướng lẩu ok lúc thì nhạt vô_cùng , hy_vọng quán đầu_tư phầm hương_vị hơn_nữa .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
mình hay tổ_chức mấy buổi họp lớp cũng như liên_hoan ở đây .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"steak bự , kiu làm theo kevel dc lun , mình thì thiz medium rare à tại thịt còn mềm , bên trong còn ấm ko quá chín .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"nước ở đây chỉ có nước_ngọt hay nước suối thôi , giá cao hơn bên ngoài nhưng cũng đúng vì quan trônh khá sang_trọng .","['DRINKS#STYLE&OPTIONS', 'DRINKS#PRICES', 'AMBIENCE#GENERAL']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#PRICES': 'negative'}, {'AMBIENCE#GENERAL': 'positive'}]"
đen đá là hệ_thống quen_thuộc mình hay đến .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
có dịp qua đây sẽ ghé vào quán lần nữa .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"khi ăn thì nhân_viên phục_vụ như chạy show rất khó gọi , mình bực_mình đến mức phải đứng dậy ra tận chỗ a nhân_viên đang làm mà hỏi bắt nồi than cho mình vì nó đã tắt hơn ' rồi không nướng đc thịt dù như gào lên thì vẫn không phục_vụ nào nghe thấy .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
mình thấy nước lẩu ngon nguyên khay lẩu mình thấy vừa đủ cho người cái mình không thích là gửi xe bị tính phí .,"['FOOD#QUALITY', 'RESTAURANT#MISCELLANEOUS', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'negative'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"thịt ngọt tươi , rau_sống giòn nhưng nước_chấm hơi mặn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"giá_như vậy thì quá hợp_lý , bao no luôn .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
nv dễ_thương vui_vẻ .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"nghĩ đi chén cơm nóng_hổi , thơm mùi nghệ , đặng_vị vỏ chanh , lá ca_ri , thế_mà điểm thêm trái ớt khô nhỏ , ko nhìn kĩ cắn vào là toi .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
mình có thêm loại topping là chip chip và cherry .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"điều duy_nhất k thích ở quán là nhân_viên , nv khá nhiệt_tình .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"nhân_viên mình gọi lại , mình nhờ lấy dĩa tôm vì ngồi chờ cả buổi kh có con tôm nào , anh đó kh nghe rõ đã hỏi ' cái gì ' vs giọng khá khó nghe .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"miếng thịt không dày lắm , to nhưng độ dày ko đều nên có chỗ chín quá , thịt bị khô .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'negative'}]"
t bone thịt gần sát xương còn sống đỏ_hoe .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"nói_chung combo về định_lượng khá ổn nếu ko muốn nói là no , ăn_người là đẹp nhất .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
nhược_điểm duy_nhất là quán không bật điều_hoà nay trời nắng nên ngồi nóng lắm .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
thêm đó popeyes còn refill nước miễn_phí các bạn ăn rồi uống thả ga luôn nhá .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'positive'}]
"hai nữa là bước vô quán , đặc_trưng mùi của tinh_dầu quế not sure mùi cà_phê xay xộc vào mũi cực_kỳ lạ và kích_thích .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
nhân_viên lấy đĩa đi rất nhanh và thức_ăn refill liên_tục .,"['SERVICE#GENERAL', 'FOOD#STYLE&OPTIONS']","[{'SERVICE#GENERAL': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
đến order miếng gà truyền_thống thì nhân_viên cũng không chào_hỏi như các cửa_hàng lotteria khác .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
vô hẻm tí là thấy quán bên tay_phải .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
quán ở ngoài nhìn dễ_thương hơn trên hình nhiều .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nhìn chầm chầm kiểu rất khó ưa .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"siêu cấp ngonnn , vị béo giò xốp mặn ngọt hoà_quyện lại với nhau .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"mình vẫn hay uống trà sữa trân_châu , trà olong j , pudding đậu_đỏ .",['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
